Contents_ID,Use,Contents_name,Subcategory_name,시군,구명,도로명주소,지번주소,키워드,다국어,경도,위도,공간객체타입,라인색상,라인패턴,라인두께,전화번호,웹URL,동영상웹링크URL,음성파일웹링크URL,사진정보1,사진정보2,사진정보3,사진정보4,사진정보5,유형,개방시간,소재지용도,변기현황,장애인화장실,기타설비
testgu09-0017,Y,미아지구대,,,강북구,도봉로 127,강북구 미아동 327-1,,KOR,127.0282658,37.62015469,1,#0000FF,,,944-4116,,,,,,,,,공공기관,24시,,남녀공용: 대변기1 소변기1,공용,
testgu09-0015,Y,강북경찰서 화장실(본관 1층),상시,,강북구,오패산로 406,강북구 번동 415-15,,KOR,127.0273084,37.63743761,1,#0000FF,,,944-4432,,,,,,,,,공공기관,24시간,,남자: 대변기3 소변기4 / 여자: 대변기3 ,남녀구분,화장실 입구 CCTV 설치
testgu09-0014,Y,강북중학교 앞 공중화장실,상시,,강북구,도봉로101길 71,강북구 수유동 647-2,,KOR,127.0274604,37.64486058,1,#0000FF,,,02-901-6773,,,,,,,,,공중화장실,24시간,,남자: 대변기1 소변기1 / 여자; 대변기2(재래식1 서양식1),,비상벨 설치(여자3)
testgu09-0013,Y,강북소방서 앞 공중화장실,상시,,강북구,한천로109길 10,강북구 번동 612-3,,KOR,127.0439257,37.62903253,1,#0000FF,,,02-901-6773,,,,,,,,,공중화장실,24시간,,남자: 대변기2 소변기2 / 여자: 대변기3,,비상벨 설치(여자4)
testgu09-0012,Y,번동 가로공원 공중화장실,상시,,강북구,한천로109길 10,강북구 번동 612-3,,KOR,127.0439257,37.62903253,1,#0000FF,,,02-901-6773,,,,,,,,,공중화장실,24시간,,남자: 대변기2 소변기3 / 여자: 대변기3 ,남녀공용,비상벨 설치(장애인2 여자4)
testgu09-0011,Y,우이동 교통광장 공중화장실,상시,,강북구,삼양로 672,강북구 우이동 5-1,,KOR,127.0131894,37.66285017,1,#0000FF,,,02-901-6773,,,,,,,,,공중화장실,24시간,,남자: 대변기2 소변기3 / 여자: 대변기3 ,남녀공용,비상벨 설치(장애인2 여자4)
restsa10_0035,Y,신논현역 화장실(9호선),정시,,강남구,봉은사로 지하102,강남구 역삼동,,KOR,127.0250151,37.50463318,1,#0000FF,L,0,02-901-0925,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
restsa10_0034,Y,사평역 화장실(9호선),정시,,서초구,사평대로 지하285,서초구 반포동,,KOR,127.0154192,37.50415824,1,#0000FF,L,,02-901-0924,,,,,,,,,공공개방,"평일 5:32~00:56
토요일 5:33~00:00
휴일 5:33~23:52",지하철,,"남1, 여1","손건조기2,비상벨11"
restsa10_0033,Y,고속터미널역 화장실(안전관리실 옆),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.0038222,37.50489886,1,#0000FF,L,,02-901-0923,,,,,,,,,공공개방,"평일 5:35~00:53
토요일 5:36~23:54
일요일 5:36~23:54",지하철,,"남1, 여1","손건조기2,비상벨11"
restsa10_0032,Y,고속터미널역 화장실(4번출구)),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.0038222,37.50489886,1,#0000FF,L,0,02-901-0923,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨10"
restsa10_0031,Y,고속터미널역 화장실(1번출구),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.0038222,37.50489886,1,#0000FF,L,,02-901-0923,,,,,,,,,공공개방,"평일 5:35~00:53
토요일 5:36~23:54
일요일 5:36~23:54",지하철,,"남1, 여1","손건조기2,비상벨10"
restsa10_0030,Y,고속터미널역 화장실(3번출구),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.0038222,37.50489886,1,#0000FF,L,,02-901-0923,,,,,,,,,공공개방,"평일 5:35~00:53
토요일 5:36~23:54
일요일 5:36~23:54",지하철,,"남1, 여1","손건조기2,비상벨10"
restsa10_0029,Y,신반포역 화장실(9호선),정시,,서초구,신반포로 지하105,서초구 반포동,,KOR,126.9958821,37.50341064,1,#0000FF,L,,02-901-0922,,,,,,,,,공공개방,"평일 05:34~00:53
토요일 05:33~23:56
일요일 05:33~23:56",지하철,,"남1, 여1","손건조기2,비상벨13"
restsa10_0028,Y,구반포역 화장실(9호선),정시,,서초구,신반포로 지하17,서초구 반포동,,KOR,126.9873567,37.50144597,1,#0000FF,L,,02-901-0921,,,,,,,,,공공개방,"평일 05:43~00:44
토요일 및 일요일 05:44~23:58",지하철,,"남1, 여1","손건조기2,비상벨10"
restsa10_0027,Y,동작역 화장실(북쪽),정시,,동작구,현충로 지하220,동작구 동작동,,KOR,126.9779192,37.50306209,1,#0000FF,L,0,02-901-0920,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨9"
restsa10_0026,Y,동작역 화장실(남쪽),정시,,동작구,현충로 지하220,동작구 동작동,,KOR,126.9779192,37.50306209,1,#0000FF,L,0,02-901-0920,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨9"
restsa10_0025,Y,신논현역 화장실,정시,,강남구,봉은사로 지하102,강남구 역삼동,,KOR,127.0250151,37.50463318,1,#0000FF,L,0,02-901-0925,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
